altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
understanding written Macedonian | comprehend written Macedonian | understand Macedonian writing | make sense of written Macedonian | interpret written Macedonian | read Macedonian,Macedonian,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214da014-b85e-4bb5-961d-1198a05e6b67,Read and comprehend written texts in Macedonian.,understand written Macedonian,transversal,skill/competence
read Panjabi | comprehend written Punjabi | understand written Panjabi | interpret written Punjabi | understanding written Punjabi | make sense of written Punjabi | read Punjabi | understand Punjabi writing | comprehend written Panjabi,Punjabi,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,Read and comprehend written texts in Punjabi.,understand written Punjabi,transversal,skill/competence
show competency in written Romani | correspond in written Romani | writing Romani | correspond in written Romany,Romani,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/222bf50b-6739-48b1-a655-658306c3529f,Compose written texts in Burlgarian Romani.,write Romani,transversal,skill/competence
interacting verbally in Arabic | verbally interact in Arabic | speak Arabic | communicate verbally in Arabic | be fluent in Arabic,Arabic,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,Communicate orally in Arabic.,interact verbally in Arabic,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,The Montenegrin language.,Montenegrin,transversal,knowledge
listen to Vietnamese | understanding spoken Vietnamese | comprehend spoken Vietnamese | interpret spoken Vietnamese | understand Vietnamese speech | make sense of spoken Vietnamese,Vietnamese,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,Comprehend orally expressed Vietnamese.,understand spoken Vietnamese,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,The Slovak language. Slovak is an official and working language of the EU.,Slovak,transversal,knowledge
communicate verbally in Hindi | speak Hindi | be fluent in Hindi | interacting verbally in Hindi | verbally interact in Hindi,Hindi,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25fcf0ff-1615-44b8-a81a-e6e8ce9deed7,Communicate orally in Hindi.,interact verbally in Hindi,transversal,skill/competence
comprehend written Turkish | read Turkish | make sense of written Turkish | understand Turkish writing | interpret written Turkish | understanding written Turkish,Turkish,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2704b00a-5d70-40ad-997d-212b323fb32d,Read and comprehend written texts in Turkish.,understand written Turkish,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,The Danish language. Danish is an official and working language of the EU.,Danish,transversal,knowledge
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,The ​Kurdish language.,Kurdish,transversal,knowledge
verbally interact in Turkish | communicate verbally in Turkish | be fluent in Turkish | speak Turkish | interacting verbally in Turkish,Turkish,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/29c954f2-ed17-4900-bba5-4cfd294f3680,Communicate orally in Turkish.,interact verbally in Turkish,transversal,skill/competence
communicate verbally in German | speak German | verbally interact in German | interacting verbally in German | be fluent in German,German,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2abb9db5-350c-444c-8292-0e0b2ce00f9a,Communicate orally in German.,interact verbally in German,transversal,skill/competence
communicate verbally in Kazakh | be fluent in Kazakh | interacting verbally in Kazakh | speak Kazakh | verbally interact in Kazakh,Kazakh,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ac8e77b-6441-4337-b9a7-ba3d8e270cba,Communicate orally in Kazakh.,interact verbally in Kazakh,transversal,skill/competence
make sense of spoken Malay | comprehend spoken Malay | understanding spoken Malay | interpret spoken Malay | understand Malay speech | listen to Malay,Malay,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2adb5796-fe66-4971-a57b-b9936a7cab68,Comprehend orally expressed Malay.,understand spoken Malay,transversal,skill/competence
speak Persian | verbally interact in Persian | interacting verbally in Persian | speak Farsi | be fluent in Persian | communicate verbally in Persian,Persian,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b7b97d3-9d77-45d4-a254-bb6c3047de78,Communicate orally in Persian.,interact verbally in Persian,transversal,skill/competence
understand Telugu speech | make sense of spoken Telugu | understanding spoken Telugu | listen to Telugu | comprehend spoken Telugu | interpret spoken Telugu,Telugu,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ba106ed-4b44-45cf-8626-ff9a952b24ce,Comprehend orally expressed Telugu.,understand spoken Telugu,transversal,skill/competence
listen to French | understanding spoken French | interpret spoken French | make sense of spoken French | comprehend spoken French | understand French speech,French,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ce713f2-c684-4fa3-8e56-939e4bfbf4a2,Comprehend orally expressed French.,understand spoken French,transversal,skill/competence
make sense of written Malay | comprehend written Malay | interpret written Malay | understanding written Malay | read Malay | understand Malay writing | comprehend written Malaysian,Malay,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2eac15c1-fe9a-4b53-9f4e-b74747d665e5,Read and comprehend written texts in Malay.,understand written Malay,transversal,skill/competence
make sense of written Maltese | read Maltese | understanding written Maltese | understand Maltese writing | interpret written Maltese | comprehend written Maltese,Maltese,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2edc3686-dc8b-498d-a174-a1f91917f86d,Read and comprehend written texts in Maltese.,understand written Maltese,transversal,skill/competence
read Georgian | understanding written Georgian | understand Georgian writing | comprehend written Georgian | make sense of written Georgian | interpret written Georgian,Georgian,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2f566fb0-89f0-4d15-bd20-e00c93adff35,Read and comprehend written texts in Georgian.,understand written Georgian,transversal,skill/competence
correspond in written Korean | show competency in written Korean | writing Korean,Korean,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2f7f7a05-88ec-4c8a-937f-381dce6b00fd,Compose written texts in Korean.,write Korean,transversal,skill/competence
